Token#1: PROGRAM|  Componente Lexico:  |PROGRAM [Linea: 1]
Token#2: Programa2|  Componente Lexico:  |id [Linea: 1]
Token#3: START|  Componente Lexico:  |START [Linea: 1]
Token#4: INT|  Componente Lexico:  |id [Linea: 2]
Token#5: SEGMENT|  Componente Lexico:  |SEGMENT [Linea: 2]
Token#6: metodoExterno|  Componente Lexico:  |id [Linea: 2]
Token#7: (|  Componente Lexico:  |parentesis_apertura [Linea: 2]
Token#8: Parametros|  Componente Lexico:  |id [Linea: 2]
Token#9: )|  Componente Lexico:  |parentesis_cierre [Linea: 2]
Token#10: :|  Componente Lexico:  |puntos_de_rutina [Linea: 2]
Token#11: END|  Componente Lexico:  |END [Linea: 4]
Token#12: SEGMENT|  Componente Lexico:  |SEGMENT [Linea: 4]
Token#13: metodoExterno|  Componente Lexico:  |id [Linea: 4]
Token#14: PROGRAM|  Componente Lexico:  |PROGRAM [Linea: 5]
Token#15: END|  Componente Lexico:  |END [Linea: 5]
